,SRG.MI,2885.TW,DELTA.BK,066570.KS,GRF.MC,PTT.BK,1CNHI.MI,F34.SI,005380.KS,4904.TW,PST.MI,IR,ITSA3.SA
2023-01-02,,,,,,,,,,,,,
2023-01-03,0.00909874681497369,0.0,0.0,-0.00810185185185186,0.02449885159774623,0.0,0.0,0.0,0.01273885350318471,0.0,0.019497329360792293,0.0,-0.011325047661331578
2023-01-04,0.02490342972650761,0.006928337796348494,-0.019354871524277395,0.046674445740956916,0.026086973107379396,-0.022900763358778664,0.0,-0.0048661752498319055,0.009433962264151052,0.004531768362351585,0.0248619011252893,0.012264179733564307,-0.003436432055209604
2023-01-05,-0.016338514018053085,0.006880756798101073,-0.11622805733356345,0.0022296544035673715,-0.01906782862990053,0.0078125,0.0,0.0097799414084907,-0.009345794392523366,-0.0030074729058975347,-0.013891750549010373,-0.004846265215948886,0.02183911832927854
2023-01-06,0.017035758521382505,-0.0022779418294930354,0.002481446419641431,0.008898776418242438,0.017710576853916082,0.007751937984496138,0.0,0.002421247401352966,0.003144654088050425,0.009049750324335637,0.009882239470305754,0.03240306353275124,0.0011248613014225306
2023-01-09,0.004396965734218439,0.02739726150915045,0.042079130792933794,0.04851157662624028,0.01018674773168371,0.01538461538461533,0.0,0.007246427723635707,0.028213166144200663,0.017937173705115494,-0.0018737923327004635,0.011973872645166805,0.0078651818712423
2023-01-10,0.006462401036656074,0.004444430012228828,-0.011876484991023228,0.0,-0.01890751554689518,0.007575757575757569,0.0,-0.00959231681563344,-0.0060975609756097615,-0.0014684064076608827,0.01168121696318769,0.011652949804655588,0.011148178645332907
2023-01-11,0.0022784085016864797,-0.006637190371993507,0.021634652857951187,-0.003154574132492094,0.040685175163625464,0.007518796992481258,0.0,-0.002421362858288867,0.006134969325153339,-0.027941198909983922,-0.008659756231008231,0.006202347549677301,0.0
2023-01-12,0.006819588930717213,0.0044544166426758736,0.025882317038143476,-0.011603375527426185,-0.0004114535739553338,0.00746268656716409,0.0,0.004854364437391068,0.015243902439024293,-0.004538508763819893,0.009151445085329168,0.01074323042384373,-0.0033076133655124407
2023-01-13,-0.001847352413669956,-0.0022173314034319436,-0.04816510430310117,0.005336179295624355,0.026759966818888037,0.0,0.0,0.0024155143005657465,0.01501501501501501,0.00455920073631777,0.0026792114536831058,0.0024394387722139754,-0.0022122820649063124
