,2802.T,PSON.L,REL.L,2888.TW,GOOG,RAND.AS,PGHN.SW,BBAS3.SA,2301.TW,AKE.PA,WES.AX,FTNT,EQT.ST
2023-01-02,,,,,,,,,,,,,
2023-01-03,0.0,0.0,0.0,0.0,0.0,0.010359155866480396,0.0,-0.018640979049098894,0.0,0.0057025547246774,0.0,0.0,0.01204280546384462
2023-01-04,0.0,0.009947115782076521,0.02514087559601208,0.0,-0.011036765857871389,0.008544087424621205,0.0201487023733804,0.012867708072806572,-0.004672826115632578,0.019959198572685466,0.021337466789224768,-0.004534237811778974,0.03878361960543941
2023-01-05,-0.007092198581560294,-0.058675606210697784,-0.016067653276955585,0.009090900224102638,-0.021869039132318302,0.0016943150346577784,0.008934912813580054,0.04567447848786599,0.01564945189547462,-0.011563274263917012,0.0019384051689927961,-0.017598312371584712,-0.0008485233382761193
2023-01-06,-0.00867346938775515,0.0046749232610654445,0.00687580575848723,0.0,0.01601944304274716,0.01589990626504023,-0.005127038396034234,0.013884858156599567,-0.003081734559851501,0.015298094342053314,0.01053305801693627,0.026132725897404452,0.007749472454095407
2023-01-09,-0.003860010293360805,0.004431642043202233,-0.0046948356807511304,0.009009000301245074,0.0072595209058901045,0.005993952504543154,0.016163021773566655,-0.009700432524642921,0.00463683254881464,-0.00022162942596404278,0.006807137224995596,0.014787456171916569,0.0230696398239445
2023-01-10,-0.0012916559028675056,0.010368436650339818,0.004288164665523064,0.001116096968667435,0.0049548963613803565,-0.06818932566605673,-0.005993489301752475,0.016997988134543673,0.016923053448016923,-0.01640066226257364,-0.007606182049952004,-0.020036463904556157,0.010708364135285198
2023-01-11,0.013191929643041833,0.010698676629878445,0.00982066609735277,-0.017837217686628604,0.033841375445472055,0.002131419778168997,0.025742057680202768,0.014164306255141978,-0.015128593390081768,0.0011266164005676593,0.009154785905908236,0.007848019051742705,0.030562347948401625
2023-01-12,0.006893030380393128,0.012745720402415506,-0.0054968287526426796,0.001134991456442469,-0.0037936100803932504,0.021978052440797757,0.007913181317197537,-0.006424568355806848,-0.0015360749072957924,0.030384840532261537,0.00886072057858489,-0.008196674537606752,-0.0011861913808175473
2023-01-13,0.01394523326572017,-0.009598976359161737,0.010629251700680298,0.009070286448309206,0.009683378894427497,0.007977785044917862,-0.03140421799764981,0.0022491378054840805,0.0015384380634013706,0.0034949727321629265,0.006900916628203246,0.009710689900589209,0.001979414045600203
