,9987.HK,BBVA.MC,4204.T,BN4.SI,WDP.BR,G.MI,TCL.AX,BVI.PA,KER.PA,CRM,2883.TW,SCC.BK,MONC.MI
2023-01-02,,,,,,,,,,,,,
2023-01-03,0.0,0.015046678002888614,0.0,0.0,0.0066274044987866265,0.004470984479582718,0.0,0.005297439116408009,0.011373035423044797,0.0,0.0,0.0,-0.005132221127444048
2023-01-04,0.037361580861199783,0.039359336896544805,0.0,-0.006877521266305142,0.01463056387336592,0.024925819987269948,0.010148255777378878,0.021078251161553707,0.04477610636514551,0.03568776971477905,0.0,0.00877192982456143,0.021031696954403323
2023-01-05,-0.005335691333075543,0.008852442895427304,-0.0021905805038334725,0.013850402259597105,-0.005046841773740707,0.0002894707952572073,0.016228751542258557,0.001984884319194302,0.013698630136986356,-0.02328247070179068,0.007905168734016588,0.011594202898550732,0.0038865286921430098
2023-01-06,-0.02279835008628328,0.009099810605605496,0.002195389681668436,-0.008196775126744216,0.007970989504123116,0.00376269380567118,0.0,0.008716296170740545,0.018532771401423842,0.030585288843714142,0.007843167174096388,0.002865329512893977,0.013162994719014609
2023-01-09,0.03842632050296757,0.010789035724701135,0.0036966046002191444,0.006887097931977726,0.014378131664921856,-0.009227211418924353,0.011406887951024736,0.021602559473170357,-0.0020848666354009726,0.04690066083775335,0.015564187029406096,0.005714285714285783,0.0064959906686412605
2023-01-10,0.02511011871472335,0.005257287339703431,0.0012276633474286314,-0.005471992199421849,-0.007087131837603233,0.008731060294864035,-0.0037594127832941693,0.0,-0.004178560697115419,0.002311327829934706,-0.003831432184220329,0.017045454545454586,-0.01480635487430404
2023-01-11,-0.007735294694301786,-0.005863736866291158,0.018528610354223485,-0.001375524911440995,0.0278372150804429,0.00403922072316143,0.0,0.012302948558565507,0.03642959577682814,-0.017227404387295087,-0.0076923370361329235,0.0027932960893854997,0.023892058329733068
2023-01-12,-0.0008661626397957756,0.007651895026800304,-0.0032102728731941976,-0.012396672844385392,0.020833347130705393,-0.0008620339067401117,0.006037730091023041,0.0022787491878557553,0.01950676317574196,0.03243624848175575,0.003875983892514423,-0.00835654596100277,0.006774569335461722
2023-01-13,0.016038131760670593,0.006486297853259604,-0.006441223832528209,0.012552279344875128,-0.0006802876878634345,-0.0017256650129728879,0.011252784650321868,0.00037894009523009586,0.017328475786890785,-0.0006016817714392664,0.0,-0.002808988764044895,0.027663542845538736
2023-01-16,-0.008105776219957894,0.0056585625585694466,-0.00864397622906532,-0.015151512017176572,0.019741318593384127,0.004033402285829046,0.013353138819611532,0.0075757865844463534,-0.005322924290195541,-0.0052170088506287016,0.0038610186464320684,-0.0028169014084507005,0.0090942161542924
2023-01-17,-0.012903225806451646,0.002657111439933413,0.015258855585831066,0.004195831957513052,-0.008010673513089372,0.004878105913514341,-0.0036603361122538036,0.0037594127832940583,-0.009810917302041311,-0.001748122922970663,0.0038461685180664062,0.01412429378531077,0.010093752305543768
