,WIPRO.BO,SOON.SW,055550.KS,ADBE,SREN.SW,PETR3.SA,ELV,2408.TW,6701.T,WTB.L,LREN3.SA,STT,CABK.MC
2023-01-02,,,,,,,,,,,,,
2023-01-03,0.009921123978454904,0.0,0.020408163265306145,0.0,0.0,-0.014138358355167302,0.0,0.0,0.0,0.0,-0.02379715914579572,0.0,0.035338559847597484
2023-01-04,-0.018261964735516334,0.015688031843334116,0.040000000000000036,0.01332657620630795,0.04576912692917312,0.01666667898804053,-0.03337317673882434,0.020754688190963932,0.0,0.009715994020926821,0.006359243590242425,0.013775533291261466,0.0059927049382522135
2023-01-05,-0.0071840610467445165,0.016328317954907634,0.08379120879120872,-0.03798951724197108,-0.002561890083131124,0.03240565750300628,-0.02562624089247334,0.01478748751056802,-0.002185792349726823,0.020725388601036343,-0.015271143321432201,-0.009688025162794212,0.006992994038362399
2023-01-06,-0.01240475037891653,-0.009118567415058454,0.0291508238276299,0.013122632829606795,0.01562498979372573,-0.006277698551436228,0.005243152190968603,0.00182146578035991,-0.0021905805038334725,0.01595358955765036,0.03689832077849209,0.025028601748411816,-0.0005144273287540635
2023-01-09,0.024990235412992945,0.015775662364851506,-0.006157635467980316,0.027738575466049964,-0.009062176991820659,0.00668897458923956,-0.010032008540916681,0.03090910478071729,-0.009055982436882548,0.0021413276231263545,0.002578707889793419,0.002850810065240461,-0.013381319726008867
2023-01-10,0.003446452754318541,-0.014236423676927124,0.013630731102850069,-0.009591200286346524,-0.012547855100891958,0.005906232798482458,-6.37309167882405e-05,-0.0035273502689294745,-0.003046247576848571,0.01139601139601143,0.02983538620227577,0.006797619546034639,0.013823675474141428
2023-01-11,0.002289847200139361,0.008315071757043269,-0.022004889975550168,0.012488870139645725,-0.014645709685683128,0.0128440506961367,0.020948449100389954,0.008849557522123908,0.012222222222222134,0.005281690140845008,0.03996000093747809,0.010802814428041208,-0.018266040043525056
2023-01-12,0.0012691965592255272,0.004340277892755928,0.0012499999999999734,0.004694882056183403,0.019016370095841673,0.005434768712212712,-0.007200278668020199,-0.014035074334395548,-0.001097694840834218,0.05779334500875666,0.020172914622969662,0.00036442081644350033,0.01493708648496539
2023-01-13,-0.0020281868064109254,0.013396742373737336,0.024968789013732895,-0.0004643979164715706,-0.0064349902173713724,-0.00216214291684258,0.01240884881855675,-0.0035587323883337074,-0.014285714285714235,0.004304635761589459,-0.05178909573085244,0.007284186647013247,0.009553364364479844
