,2886.TW,8802.T,8604.T,ADVANC.BK,086280.KS,000725.KS,NESTE.HE,6841.T,7733.T,BCOLOMBIA.CL,EW,5347.TWO,STM
2023-01-02,,,,,,,,,,,,,
2023-01-03,0.0,0.0,0.0,0.0,-0.003058103975535187,-0.016791044776119368,-0.007419020228272899,0.0,0.0,-0.002409638554216831,0.0,0.0,0.0
2023-01-04,-0.0032787365726649753,0.0,0.0,0.01285347043701801,-0.0030674846625766694,0.036053130929791344,-0.013816547888316766,0.0,0.0,0.01449275362318847,0.02962171370775346,0.006250000000000089,0.03253186918015838
2023-01-05,0.023026327611956665,0.004451038575667754,0.0018367222377231318,0.020304568527918843,-0.018461538461538418,0.016483516483516425,0.013550761143357848,-0.004362578768783321,0.02286453839516822,0.017857142857142794,-0.016869372236626767,0.053416186978357816,-0.010958945914490759
2023-01-06,-0.004823158108551051,-0.02156573116691285,-0.004074149571942631,0.0,0.01567398119122254,0.009009009009008917,0.004475397018519844,0.01363193768257065,0.007380851961197754,-0.01520467836257311,0.02434160446430189,0.07075471443483172,0.05567873188890515
2023-01-09,0.024232668534488466,0.0,-0.002301084094998407,0.00995024875621886,0.0185185185185186,0.0035714285714285587,0.013366371237574448,0.010806916426512991,0.010990161189030845,0.0,-0.008570362859383285,0.028634343466255707,0.038310130178168755
2023-01-10,0.0015773101954399404,0.0,-0.000768797098441576,0.0,0.015151515151515138,0.005338078291814874,-0.012243972829027894,0.0035637918745545782,0.003623563515891881,0.0225653206650831,0.008775352748335852,-0.01820133351031772,0.014910289541019806
2023-01-11,-0.009448832100876992,-0.0003019323671497043,0.017029171962422485,-0.019704433497536922,-0.008955223880596996,0.003539823008849474,0.013748042033717711,0.02083333333333326,-0.007220961419434735,-0.007897793263646924,0.00895874411166142,0.009814629834577593,0.008964158658351318
2023-01-12,0.0,-0.015403201449713078,0.002017349153468073,0.01005025125628145,0.027108433734939652,-0.012345679012345734,0.010226747202180642,0.0013914656771800704,-0.020157938487115556,0.01826270194333879,0.0005147460558307948,-0.028077737764193533,0.005922948199857281
2023-01-13,0.006359267338222452,0.006748466257668673,0.011073082071331841,0.004975124378109541,0.035190615835777095,0.008928571428571397,-0.0028608551352717893,-0.02732746641963868,-0.0033934252386002006,-0.014486088756035853,0.00720254094654349,-0.02000003390842009,0.009322892143361017
2023-01-16,0.011058488702501146,-0.018890920170627656,0.001991238501977133,0.0,-0.016997167138810165,-0.012389380530973493,-0.003531225834533358,-0.00952380952380949,-0.012343051713130437,-0.0013999066728884735,0.005267555889140629,0.01247172496118254,0.01075595821599018
2023-01-17,0.0,0.022360248447204967,0.01788553215753308,-0.004950495049504955,0.008645533141210304,-0.012544802867383464,-0.0011074872661778201,0.0019230769230769162,0.004309416074121941,0.004205607476635453,0.0017466513792876448,0.030235127166538645,0.0035471662335369025
2023-01-18,0.001442304946515538,0.01427703523693813,0.0015618660169913756,0.004975124378109541,0.02285714285714291,-0.014519056261342977,0.019068750320358596,0.034069097888675515,0.04762926410641488,0.0,-0.006974423630496607,0.007525083612040184,0.013419635260820462
2023-01-19,0.0014402276989811114,-0.024857741838873904,-0.007797270955165692,0.0,0.019553072625698276,0.0036832412523020164,-0.03111401944433223,-0.005568445475638062,-0.02314151136596354,-0.004187994416007479,0.002043208620836179,0.007468879668049766,-0.03688818490231438
2023-01-20,0.0014381564262604396,0.014742014742014753,-0.0027504791679456853,-0.00990099009900991,-0.021917808219178103,0.0183486238532109,0.007859921365663158,0.006532897806812876,-0.002096436058700246,0.01612149532710272,0.0104498493955405,0.007413509060955503,0.026025076975309425
2023-01-23,0.0043082733078381175,0.003026634382566673,0.006895192982496301,0.004999999999999893,0.003361344537815114,-0.00108108108108107,0.016042722568412993,0.013908205841446364,-0.0012605042016806678,-0.00919751667049895,0.009711144333151678,0.022076860179885527,0.02871502121679992
2023-01-24,0.001429930570901794,0.00965600482800233,0.009391544224663262,-0.00497512437810943,0.001116694584031297,-0.0003607503607503393,-0.004824504679110997,0.021033379058070345,0.004417332772402194,-0.025295892318403346,-0.03684732748190711,0.007199999999999873,-0.012793743435309257
2023-01-25,0.0014278887890706304,0.001195457262402888,0.0021321487379009074,0.004999999999999893,0.001115448968209698,-0.00036088054853844476,0.0013221145258168754,0.00582176444245408,0.012774869109947629,0.0019047619047618536,0.0075217459014884636,0.007148530579825341,0.020970858462412867
