,GALP.LS,CMIG3.SA,HES,2303.TW,4519.T,KRC,ANA.MC,DOW,105560.KS,2891.TW,ENEL.MI,010955.KS,CNR.TO
2023-01-02,,,,,,,,,,,,,
2023-01-03,-0.009309533154608807,0.0025559204644831635,0.0,0.0,0.0,0.0,-0.0017291242176242783,0.0,0.03046218487394947,0.0,0.024946854926513495,-0.021276595744680882,0.0
2023-01-04,-0.03837123784083962,0.01720847963001071,0.015239391812727598,-0.008454161254066062,0.0,0.01855236676195604,0.012124746769730965,0.025274312154937695,0.029561671763506547,0.009029379972184337,0.03528297945119818,-0.0019762845849802257,0.0010437018900362194
2023-01-05,0.027280133992797495,0.0068921791303184765,0.03082661806617293,0.004872125862523502,-0.00030303030303024947,-0.04386862761811494,-0.013690867732414236,0.01108347020949707,0.06732673267326739,0.01118568213570481,-0.001640208591706993,-0.0108910891089109,-0.015516704887725496
2023-01-06,0.0003963626263685516,-0.014934641319572894,0.020741569784519243,0.027878824869791652,0.0027280994240679313,0.018781882327389088,0.01908619530509381,0.03987905152970361,0.051948051948051965,0.0,0.022453388908043825,0.021021021021021102,0.024420620885928113
2023-01-09,-0.0031695691137680893,0.02021470299909245,0.0036186797738642085,0.04952826411667366,-0.00022672309552596026,-0.013168290332510546,0.007377997016309257,0.004725523798074116,0.008818342151675429,0.024336249016681855,-0.0003570532228948098,0.009803921568627416,0.0022500310854673966
2023-01-10,-0.002782181846134879,0.011145554471529318,-0.004160352922181865,0.011235955056179803,-7.559150351499344e-05,0.008806992410106629,0.015774665080325656,0.021526817432780287,0.010489510489510412,0.0,-0.011252045443203018,0.001941747572815622,-0.010132869326398675
2023-01-11,0.004384241119274046,0.020208208080838563,0.011349428618783186,0.003333367241753482,-0.001814333232536991,0.0444444534149262,0.03327786965304491,0.019656465138247814,-0.02422145328719727,-0.0021597942930646763,0.01697983080376786,0.0019379844961240345,0.007294363404795723
2023-01-12,0.017063427968602385,0.0,0.03772802566291955,0.0,-0.005149954559224512,0.030395156455249595,-0.000536801405676024,0.016325088517138875,0.0017730496453900457,-0.008658041542712991,0.01367667189013666,0.009671179883945946,0.0013387769625250456
2023-01-13,0.0035115160177476845,-0.001800727256274448,0.009818954609428943,0.005537098373223914,-0.01918392204628505,-0.0034414795623938232,0.008055854052548383,0.0027341053684302175,0.015929203539823078,-0.004366828957883984,0.0036797592603083906,0.02298850574712641,0.006624104027198152
2023-01-16,-0.006220834046796964,-0.009019804072043947,-0.0027594086755851066,-0.011013215488880346,0.001552312946289991,0.004810032973512124,0.004794934309570564,-0.016359902513292557,0.04529616724738683,0.010964912647612568,0.013966466727497906,0.0074906367041198685,0.0021130530355308874
2023-01-17,-0.017214344127638337,0.027305779548304487,-0.000922348027009301,0.02338528288145736,-0.0034097954122752627,0.001595669103501507,0.012195056832110751,-0.005544000139581451,-0.015000000000000013,0.006507658604939515,-0.008264438383453143,-0.009293680297397744,0.0039760731458466925
2023-01-18,0.011942644388450718,-0.014766670437989737,-0.005868773000122562,0.0047710696020768495,0.05256609642301702,-0.010539223363151273,-0.003666825409233798,-0.00975612122655678,-0.010152284263959421,0.0,0.0006943940840404839,-0.0018761726078799779,-0.0048004069743060596
2023-01-19,-0.011801700871760357,-0.0011990454016921337,0.020363540966297666,0.004748414585589389,-0.011820330969267157,-0.015357913011859958,-0.01787588828095299,-0.004222408124956334,-0.022222222222222254,0.0,-0.018563475927830475,0.009398496240601517,-0.012360584723031587
2023-01-20,0.02189487335531992,-0.02340937991520109,0.006305669954866477,0.00472597370312644,0.0023923444976077235,-0.0183647683581466,0.007494613884435841,0.014840992495290584,-0.0034965034965035446,0.0,-0.0012373995761316703,0.013035381750465591,0.007448114761741564
2023-01-23,0.013245039017427906,-0.004302337569630721,0.0023255852923413922,0.014111231798978663,0.01193317422434359,-0.00896981765023841,-0.002125366115677374,0.010445722548108938,0.015789473684210575,0.0,-0.03256637383239247,0.0022058823529411686,0.001817979905408773
2023-01-24,-0.015763162007082165,0.030864162572980414,-0.008249540790707388,0.004638291920550763,0.010908018867924474,-0.0090509048537315,0.0042598670860367616,0.0027567168312931933,0.005181347150259086,0.0,0.005488425271042985,0.0007336757153337814,0.003568813886715816
