,5871.TW,IFX.DE,DVA,9999.HK,207940.KS,3481.TW,ECL,006400.KS,TEMN.SW,DXS.AX,SWK,RR.L,0M2B.L
2023-01-02,,,,,,,,,,,,,
2023-01-03,0.0,0.012020881678860285,0.0,0.0,-0.029020556227327687,0.0,0.0,0.004983388704318914,0.0,0.0,0.0,0.0,0.0
2023-01-04,0.027649773967979296,0.0301256669892096,0.030865917971975465,0.05986508065318685,-0.011207970112079746,0.008928518039839073,0.017322109073231617,-0.0033057851239669533,0.04025582008636164,0.014322934371497231,0.03163139461201947,0.025174378440786516,-0.0019208273596140746
2023-01-05,-0.013452881278516737,-0.006016052965133412,0.01749835965548563,0.008751043199854092,0.017632241813602123,0.008849575629165773,-0.0329192899079348,-0.03316749585406298,0.0072333007485980705,0.0012837264352767441,0.0005089175102275245,0.012426056383331385,-0.036599518680840104
2023-01-06,0.01818177226169193,0.024041700003046174,0.03248411530901674,-0.01656156193196945,0.0,0.030701746717530787,0.03196854812039174,0.005145797598627766,0.008976660559270266,-0.01538466146946782,0.030900309308695695,0.0023377932515904476,0.024097896543475272
2023-01-09,0.031249993355785044,0.023641415700482504,-0.028871115103979106,0.025661625147953337,0.004950495049504955,0.0,0.005084935586085582,0.023890784982935065,0.011743769367479118,0.010416719053562673,0.013445219827165511,0.008357634573360917,0.011655231035754499
2023-01-10,0.008658055961542566,-0.011387315186019542,0.013594202862026172,-0.006254910416056081,-0.016009852216748777,0.0,0.013180639804615923,0.020000000000000018,-0.01547662783448911,0.009020578963862436,0.022760406935691258,-0.02640714568959457,-0.0024061463824300855
2023-01-11,-0.015021455425994756,0.0034068638311492982,-0.0002506473222909644,-0.008654590773618853,0.005006257822277815,0.004255327811010456,0.013469139900541105,0.019607843137254832,0.02965344517660551,0.017879932037002,0.021301927187084013,0.01544253850552213,-0.002709077108957292
2023-01-12,-0.015250540744003449,0.014874729286008526,-0.019307934732712417,0.03730156308128718,0.00996264009962644,-0.016949119332259066,-0.005640162834278817,0.008012820512820484,-0.01214435757029475,0.0062736096472117975,0.00524349743465824,0.013842836260463454,0.01956339969209009
2023-01-13,-0.0176991405311685,0.013063560440404354,0.010355376450433607,0.04743685610564641,0.0,-0.004310353418876756,0.0068456627952970805,0.0031796502384737746,-0.00035125497446508724,0.0,0.03060168218118453,0.04576925130990839,0.005269057654056386
2023-01-16,0.04279279295385163,-0.0009435661762389191,0.00037961137680508905,-0.022644200021444738,-0.004932182490752113,0.004329012994839454,-0.005973559796710215,-0.011093502377179099,0.08924810250303672,-0.017456400914195425,-0.001771510841445556,-0.014711276597043299,0.00047734848057889856
2023-01-17,-0.00647949971105688,0.01574059529693983,0.00012648910889678788,-0.001494745468464731,-0.01734820322180919,-0.01293106025662949,-0.002003152550445364,-0.012820512820512775,0.012903213500976562,0.01522841165181843,-0.00059155155380608,0.012877913458917867,0.008148407019038295
2023-01-18,0.003344483913806151,0.0058888097009295315,0.004426438288503087,0.06511973466154841,0.0,0.0036949917102215846,-0.018603073769573375,-0.004870129870129913,0.0012739145227167459,-0.013750016689300537,-0.010146492981386812,-0.00257968285364929,-0.014621065525469046
2023-01-19,0.0033333356264240166,-0.03404718494046233,0.001385049268290972,-0.030217870411385683,0.010088272383354413,0.003681389008353575,-0.011639507342587896,-0.004893964110929905,-0.02926208844358469,0.008872011767543597,-0.05011391085356931,-0.029373732148778364,-0.014457966268934586
2023-01-20,0.00332226141409242,-0.007017582712157244,0.009933370145266407,0.021739130434782705,-0.0012484394506866447,0.0036678860928078816,0.02880214403433734,0.014754098360655776,0.007863688319739603,0.002512560405862674,0.029136693773581746,0.014465137196230993,0.006300229067706553
