,UNA.AS,OMV.VI,VIE.PA,6869.T,TECK-A.TO,NOVN.SW,ISP.MI,4568.T,NEM,IVL.BK,WDS.AX,CSCO,PTTGC.BK
2023-01-02,,,,,,,,,,,,,
2023-01-03,0.008150700043578096,-0.007921986456933428,-0.003618823866137988,0.0,0.0,0.0,0.02331605781207191,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,0.007349901232022171,-0.035831285719340245,0.048426102596418774,0.0,-0.0309700067756572,-0.0009321389874658026,0.025776753501516092,0.0,0.038926914465534646,-0.012422360248447228,-0.023769104384861683,-0.00813515646266938,0.005347593582887722
2023-01-05,-0.009902069558700655,0.02803142260664604,-0.0023094483063728077,0.007709657580371454,0.045226130653266416,-0.009912477984318269,-0.006057875644885802,-0.019475655430711614,-0.005824097201244438,0.0,-0.01710145369819971,-0.014090392843226662,-0.010638297872340385
2023-01-06,0.0038951758595959785,0.0,0.023533974095527155,0.014773744342352568,0.028846153846153744,0.010247330056584625,0.008352185265128487,0.035141329258976395,0.028900596928248534,-0.05031446540880502,0.02064290079885911,0.030716693555887797,-0.005376344086021501
2023-01-09,-0.0022021715932105668,-0.014666372375760517,0.010177103031548285,0.021155644270881346,0.009532678907162584,-0.005363243714124666,-0.002238690142098765,-0.0064575645756457245,-0.008920049691700016,0.019867549668874274,0.012424163466994376,0.005380838946038358,0.027027027027026973
2023-01-10,-0.002522310666534855,-0.007756790900771526,-0.012313430339569442,0.006905785090834282,0.0014812411320292984,-0.02098221990186233,0.009647795240529167,-0.0021665119158155166,0.01780927390723752,0.0714285714285714,-0.0008562383907029236,0.004734449023616527,0.05789473684210522
2023-01-11,-0.004425305891201048,0.0,0.018511514311636335,0.05120100979769315,0.012386728915793066,0.004549807413621432,0.004222234090169197,-0.01935483870967747,-0.012982171619887684,0.0060606060606061,0.01456732821140383,0.008194994876614015,0.004975124378109541
2023-01-12,-0.002751555854734855,0.005282061912703417,0.01075671088187713,-0.004209289610699551,0.01698320550915855,0.002622133318929132,0.010843059481715267,0.02327935222672073,0.017918460880882447,0.0,0.020551788649449954,-0.004267406794951967,-0.004950495049504955
2023-01-13,0.009126530301601044,-0.009037416742912474,-0.014311904207282233,-0.02439610578011775,0.022625285819744656,0.004517355316067118,0.001751395385493737,0.022255192878338326,0.01779020451491542,0.006024096385542244,0.012413814150053826,-0.002448957793566686,-0.00497512437810943
2023-01-16,0.0028394603308377064,-0.005726414613485775,0.022710301159406532,0.01634067789187621,-0.027041279980623112,0.020355045864917543,-0.0013111979199230683,-0.010401548137397243,-0.02594292510854157,0.0,0.016348731925013738,-0.012274947108926959,0.004999999999999893
2023-01-17,-0.007969821008453004,-0.004052953009326732,-0.014197284288203105,0.014981729152539813,-0.007399383658927339,-0.007074955125664029,-0.010503355337054487,-0.002199951112197507,-0.008877962006292983,0.0059880239520957446,0.0018766674599464128,-0.004142497979911286,0.02487562189054726
2023-01-18,-0.01162789103450157,0.02334547407684795,0.005169844536294876,0.01416053670973394,0.02199998335404829,-0.010162345153970187,-0.004865067838576764,0.04140127388535042,-0.01791504515984932,0.005952380952380931,-0.009900961799843011,-0.024542434697114035,0.0
2023-01-19,0.0010695023970170858,-0.047718686428363966,-0.027185885003131016,-0.012069577564785217,0.0007116334491881204,-0.002714216546281234,-0.011999977959526897,-0.02023053399200192,0.018241848703165697,-0.011834319526627168,-0.005945978937922147,-0.009381714863345159,-0.004854368932038833
2023-01-20,-0.0025640797829273865,-0.004395621163504448,0.006419942569213299,0.009941339578467545,0.013866644965278008,-0.00035500005238797705,-0.019118316745563968,0.010324129651860803,0.016580882630921057,0.011976047904191711,0.007069117587269025,0.006887638853423361,-0.024390243902439046
2023-01-23,0.0012853764545577295,-0.0033112078081212193,0.006378989820913006,-0.0040323158558821515,-0.000526017533561185,0.011245311158420979,0.0270580208360669,0.014733840304182566,0.005436837545889528,-0.00591715976331364,0.016738631656589842,0.015391219313621862,0.014999999999999902
2023-01-24,-0.005669730312992227,-0.009080837952510579,0.01640568751171667,0.019647535698590346,0.019473694918448414,-0.00433105770242781,0.02054030045744004,0.01990632318501162,-0.004475138424143821,-0.005952380952380931,0.0023898075664510188,0.00652634470086344,0.0049261083743843415
2023-01-25,-0.007746031360382877,-0.007599466692723267,0.012105646402615022,0.009342548922284255,-0.043021854650517,0.002821542255091236,0.004156651278384604,0.008036739380022917,0.03184118341213282,0.0,-0.011655592760502875,0.0035557030759736374,0.004901960784313708
