,4307.T,UNH,2359.HK,MSFT ,NN.AS,CL,CBRE,5108.T,2892.TW,KLBN3.SA,INFY.NS,TD.TO,SW.PA
2023-01-02,,,,,,,,,,,,,
2023-01-03,0.0,0.0,0.0,0.0,0.012720608980957948,0.0,0.0,0.0,0.0,0.004962840034847593,-0.0009514115301016979,0.0,0.0057573277138229795
2023-01-04,0.0,-0.027263639998973854,0.01640306445117745,-0.04374319912948865,0.008715718206022238,0.006445117577815074,0.016318188927301636,0.0,-0.0019011725718425243,0.01234553830867502,-0.018226001845626394,0.013003301168680093,-0.00022014590120544852
2023-01-05,0.008025682182985605,-0.028820631407179165,0.04956775852170381,-0.02963774929736973,-0.007623869090054414,-0.01381213564228212,-0.016181646961544893,0.005604656175900002,0.00952381539702496,0.002439022518069045,-0.013112186925345548,-0.027023915802958376,-0.004844738139582638
2023-01-06,-0.01273885350318471,8.165675895921432e-05,0.0,0.011785322954254385,0.008962926905417001,0.018334637441054014,0.031748028230024206,0.005787781350482302,0.0,-0.00973216121400955,-0.018099208280657142,-0.0004629199610239887,-0.011949543381432615
2023-01-09,0.008467741935483941,0.00012244399713012832,0.04612846576023388,0.009736373594974257,0.011675103214666471,-0.015628906570827716,0.010380672099514765,0.0019181585677749968,0.018867936054147272,0.0,0.02481874433681397,-0.0031261348138792444,-0.01075029029130592
2023-01-10,0.0027988804478209506,-0.008284694892094935,-0.021522341750738083,0.007617167239878819,-0.016307112792921075,-0.0053347615957246575,0.01186400679254973,0.0006381620931716903,0.003703765880027632,-0.004914064601768353,-0.009902624982587205,-0.001161422484242558,-0.0027167490558863694
2023-01-11,0.011164274322169154,0.015226324889885623,0.01824039306117986,0.030238138450453755,0.014792191905058427,-0.015068322589243732,0.025383759082672652,0.009353741496598733,-0.01107014651976379,-0.017284129215011212,0.0010205817315869226,0.005348826563635445,-0.012258853040767126
2023-01-12,0.011041009463722329,0.004600769273066296,-0.0005269025390286508,0.011621453894570255,0.010304092434743284,-0.003759897910724952,0.009430571791764653,0.0033698399326032025,-0.013059693885794865,-0.0050249243019340195,0.006355123592820755,0.020124888760055804,0.02160423549087276
2023-01-13,-0.012480499219968744,-0.012306586919252682,0.035846089410392246,0.003018746540126349,-0.006467714708855765,0.013144224158850193,0.005605551469458181,-0.01133501259445846,0.0,0.007575551869486441,0.015568046203028763,0.00725622915864732,-0.0033746036539332724
2023-01-16,-0.003159557661927326,-0.006878516889484931,0.06463102772642326,0.0035112979015352597,-0.003755576272887695,0.003660933432183988,-0.012280835432428305,-0.004458598726114649,0.009451801192086107,0.0025063295815184183,0.014531290680124709,0.0029266338017572835,0.0033860301636960966
2023-01-17,0.0,-0.002308719529437897,-0.030592705496395367,0.001166337276214735,-0.006534358639056936,0.0012158599616787225,-0.004144509854277945,0.00746427809767547,0.0018726147542096339,0.015000119328518524,0.009177318911832266,0.009539825911085487,0.024072007587196076
2023-01-18,0.028526148969889142,-0.018223791091355745,0.0029585346927902823,-0.01888915510560274,-0.016696176771899607,-0.024415231754430056,-0.012868906460016705,0.013547840812870415,0.0004313457813813759,-0.009852272435121878,0.003832428979579472,-0.01022788438197153,0.0021968531046849815
2023-01-19,-0.01078582434514641,0.01705021687320163,0.04129798135366913,-0.0164539456468481,-0.0043735058815724814,-0.014675088457291818,-0.0026312787836039186,-0.007101086048454497,0.0004311598024195895,0.0,-0.004206030734640653,-0.005166787496122316,-0.006576112560758851
2023-01-20,-0.009345794392523366,0.004872441862487253,0.0122756884195665,0.03574358128192001,0.0028423929763046196,0.0031915625386162993,0.010792679367624736,-0.0010517458981910144,0.0004309739837617954,-0.029850786190981804,-0.008675011614884154,0.006887214773098949,0.00838481309073491
2023-01-23,0.01729559748427678,-0.0018696656390266853,0.004197768430503901,0.009824330190487673,0.007214603694643662,0.0007953016523343237,0.00925375217492963,0.004632554221941421,0.0012923649756033662,0.0025641004949863433,0.014715971586196197,0.005270253634164224,-0.0059080951252191705
2023-01-24,0.0061823802163833985,0.01191825728992657,0.001393406943821729,-0.0022261049585529102,0.0015349545422562727,0.005827846906043099,-0.021981929626077146,0.01865437015300775,0.00043023230803496126,0.005115152471264928,0.0025193956163194198,0.0024540013046137066,0.0105657162273336
2023-01-25,0.001536098310291889,0.0018307442744311953,0.0013914680625612963,-0.005908084264779845,-0.005364058518136039,-0.0022386857107492553,-0.0018028113219485942,0.003292181069958877,0.00043004728779760804,-0.010178241684424716,-0.0057349212410914285,0.0026705002385087884,-0.0028315799800568975
2023-01-26,0.006134969325153339,-4.0586829790578705e-05,0.001389534569585793,0.03071360031130177,0.01617876451806355,-0.003167452479905797,0.012642930569296995,-0.002050861361771905,0.0004298624266267925,-0.0077121439619982635,-0.007728443158113274,0.007324337234984268,-0.00436875278888238
2023-01-27,-0.007621951219512146,-0.01305641457504314,0.015726222031757775,0.0006451760568926268,0.003790789159357155,-0.052164735933852846,0.004280625646650105,0.0,0.0004296777243177896,-0.00777181161542273,-0.007788637197976955,0.007160973338303789,-0.010092083793859619
2023-01-30,0.006144393241167334,-0.0005348817088288715,-0.0555556095990285,-0.021961625031497012,-0.0037764733451398635,0.018019290145494526,-0.009353551078507882,-0.0057542129058775204,0.001288479541995624,0.028720669540666766,0.01293488075454663,-0.008422628073602167,0.002659547888479885
2023-01-31,-0.05343511450381677,0.02758392239605989,-0.021215014590022063,0.02101269294075281,0.006317917663080097,0.022639977882292328,0.021991203627970135,-0.0006200909466721471,-0.029739749267268856,-0.005076203965138304,-0.0032818096360023308,0.015554285813357938,0.005968168224134374
2023-02-01,-0.003225806451612856,-0.004387111982803282,0.013793118481565614,0.019934637383781206,0.0037669896290430938,0.0061719990877073805,-0.003976189437388644,-0.0012409513960702778,0.007662808514913966,0.0025510181894352613,0.011312127521393656,-0.006191611013909193,-0.012305057305623035
2023-02-02,0.017799352750809128,-0.05265596263125627,0.0038872839645029966,0.046884297145462384,0.004002998311874784,-0.016802167525393208,0.03956795607647212,-0.003520397597846392,-0.0057033638367276485,-0.030534391388567617,0.02104959379019311,0.005027862009108652,-0.01846491443459719
2023-02-03,0.0,0.002527456779186199,-0.01936108364873823,-0.023620558789990698,0.0004983916578951142,0.007595246617347229,-0.015812079414982083,-0.0024937655860348684,0.0019120004667603219,0.01837261940113466,0.009881625517955905,0.005111487072345211,0.00407974184571569
2023-02-06,-0.022257551669316422,0.006821747586223115,-0.03899313384638803,-0.006115800474224331,-0.023412264151481232,-0.005922768017011637,-0.017328461634231407,0.011458333333333348,-0.005725209558394395,-0.00773175023527406,-0.018475708626396137,-0.0077905348946983866,-0.009706489607084201
2023-02-07,-0.025365853658536608,0.003450918866547248,-0.0005135636686895984,0.042022078150057096,0.005100759184119896,-0.005416405337084429,0.01623262214448995,-0.005355303810504641,0.0019194180007695572,0.005194595881870878,-0.004745645308618984,0.012213770816308367,-0.007522269353476885
2023-02-08,0.002669336002669276,0.013294741387717801,0.0,-0.0031020577808302807,0.013448332437171251,-0.0012252735415910765,-0.025856126026169823,0.007869124042244824,0.0,-0.0025840451695242628,0.017985135142631448,0.0006463861106549285,-0.002985710545640785
2023-02-09,0.0016638935108153063,0.005194341623451448,0.010277491969533203,-0.01165978982882443,0.004757196993972812,-0.0072246288834147965,0.034092333767708816,-0.008013149784261375,0.001915740893214446,-0.0025904000423965234,0.016661427224143432,-0.002260972121905347,-0.007371580437615655
2023-02-10,-0.015282392026578107,0.01754058596538255,-0.029501540547785754,-0.0019724945880554845,0.0009966882573013702,0.009886052486629548,-0.004106782971846634,0.006213753106876663,0.007648156628502933,0.023376601082938153,-0.005225696457560325,0.0036689756555869923,-0.019262020746251274
2023-02-13,-0.007422402159244279,0.002225606683896153,-0.006289292080968623,0.031242877347060993,0.0,0.0029910752165949184,0.01832758783722488,-0.0022643062988884077,0.009487671280004717,-0.0025381352643513155,-0.02555102198168635,0.005913293298904776,0.015380966681851183
2023-02-14,0.02651257647858607,-0.005087351368122106,-0.00791139215038339,0.0031328544912645473,-0.0054766595975583865,-0.007997781818335992,0.0,0.005776769135547699,0.0037593853409911837,-0.0025445270546353704,0.016459886842853377,-0.00438217233233773,0.0037287382342057196
2023-02-15,0.0,-0.003205946503488488,-0.02445510874137935,-0.010471418462388193,0.006508093030486162,-0.006559215016833542,0.006861649042536833,-0.004102564102564155,-0.009363301131291468,0.007653121471484559,0.0023850926270987394,-0.0013956508929995337,0.0041792624121366195
2023-02-16,0.004966887417218624,-0.0079389188732506,-0.019073569482288777,-0.026622654213367847,0.01790602429984034,0.000962856915579513,-0.011283679054026718,0.016683831101956814,0.0037807051762204225,0.002531643216377999,0.002974233652530467,-0.0039775868688453064,-0.001156078053695997
2023-02-17,-0.021416803953871466,0.024068903912680906,-0.007222239176432277,-0.015601741114309231,-0.0078182187255873,0.024048372691064968,0.0029378772455419533,0.04294975688816849,-0.0018832707481788447,-0.02020220015319718,-0.01123735762972966,0.0023745409290867325,0.0032407287157900644
2023-02-20,-0.0060606060606061,-0.01167646853619142,0.01734754424429852,-0.015664960011163354,-0.016990948806594353,-0.0026166920143722017,-0.02509577356824011,0.014374514374514424,0.009433968027073858,-0.015463906028010066,0.005461486347440259,-0.007106747524390222,-0.006922003679645239
2023-02-21,0.007452574525745215,-0.003938139743536961,-0.030803113363652268,-0.005304752066038088,-0.02379751983508882,-0.0008745190183891971,-0.008580594513060702,-0.00344695518958249,-0.0018691146225899846,-0.00523559814031227,-0.008132093044648125,-0.002385871628754699,0.010455347226122402
2023-02-22,-0.0043712172158708595,-0.004925572290776836,-0.01929621995103159,-0.004590982983795788,-0.012060590351057887,0.002019950465443454,0.0017484732984978102,-0.00384319754035356,0.009363301131291468,-0.005263153899078388,-0.011206046959085114,-0.007174649940662525,0.011267007059022172
2023-02-23,0.00911854103343468,0.005727234570299666,0.006944426661166014,0.01296175037503855,0.0007791890726462913,-0.010079289921899437,0.010588736407533661,0.0033757716049382935,0.0037105621840711756,0.005291070634034112,-0.007107246324251859,-0.01007334009088423,0.002955899355045588
2023-02-24,0.009036144578313143,-0.014968813342951304,-0.027011476714035587,-0.021784366128998478,-0.011419637701764351,-0.007195307932954087,-0.021416242291654064,0.0033644141113140513,-0.009242149431854862,0.010526445103500315,-3.2196272254148006e-05,0.007742472291653701,-0.002720444438316094
2023-02-27,-0.022222222222222254,-0.0020853122376227606,-0.012404052366576823,0.003771777693612144,0.014439465341487434,0.006426927914060077,0.0023532719456860196,-0.0019160758766046948,-0.004477596388736127,0.0,-0.02666622057518253,-0.006146389582288525,0.01022955501441647
2023-02-28,0.031207598371777445,-0.015269396612960562,-0.0005980313788971348,-0.0029581287269389023,-0.008799175930602532,-0.004076024844875015,-0.0005869591539476859,0.00307160683432528,-0.0014992451442222832,0.023437409293061817,-0.014410653479331348,0.0033130360270867687,-0.01282627299073702
2023-03-01,-0.003289473684210509,-0.0015127982876199653,0.05385996212606159,-0.012629275597824119,-0.0010444103478894906,-0.010231923175643254,-0.00880902050007748,0.0022966507177033524,-0.0015014962551919142,0.00508912084221258,0.005714093456348657,-0.0020913023137346665,-0.007522269353476885
2023-03-02,0.0,0.005218658684309929,-0.00908578107927549,0.019653210922658593,0.004181909420577723,0.01681589993095156,-0.0020144350062190064,-0.003437082299026173,-0.01127823209463319,0.005063087247609177,-0.01597541768925692,-0.024266539695234957,0.0009187264854069177
2023-03-03,0.0033003300330032292,0.0018002623604491674,-0.006303759905533668,0.016646062146554286,0.009890710208892983,0.0024400205146639653,0.02018519263360319,0.003448936577888473,0.0019011725718425243,-0.0025186916755280953,0.0048568585371646655,0.006669726129227671,-0.0016062655243959112
