,1928.HK,LDO.MI,CMI,ABT,AAL.L,KBANK.BK,1972.HK,SAN.MC,034730.KS,PUB.PA,HINDALCO.BO,ITUB3.SA,CPN.BK
2023-01-02,,,,,,,,,,,,,
2023-01-03,0.0,-0.006269598243693775,0.0,0.0,0.0,0.0,0.0,0.002632101006144083,-0.00540540540540535,0.01273882540189386,-0.014373716632443578,-0.01911421132070501,0.0
2023-01-04,0.042750915793250854,-0.01844206266272319,-0.0024061839878045665,0.014874951872432263,-0.026629935720844822,0.016778523489932917,0.02663443847793734,0.037101834938409795,0.024456521739130377,0.025157241043163747,-0.03895835876464837,0.0009505014042219262,0.0035087719298245723
2023-01-05,-0.008912656213897252,-0.00543889057854674,-0.015553544825499532,-0.003686683176783667,0.04371069182389942,-0.0033003300330033403,0.016509361392709865,0.003712425840195932,-0.0053050397877983935,-0.008395228758358964,0.009538314611959642,0.02943973670256006,-0.013986013986013957
2023-01-06,-0.02877695176315176,0.012925689493770376,0.03033116187375784,0.013808652862420612,0.0572461584814703,0.013245033112582849,0.023201856969912393,0.024377939146342786,-0.005333333333333301,0.010420111094521234,-0.006978741496264318,0.012915072663999494,0.010638297872340496
2023-01-09,0.03703703703703698,-0.008834301010520407,0.001599013527708193,-0.001602424127496116,0.02066115702479343,0.009803921568627416,-0.01814057289661808,-0.00886261306295899,0.03753351206434319,-0.00612312374647761,0.01773160660180073,0.002732303087090715,-0.0035087719298245723
2023-01-10,0.048214299338204425,-0.0022282308609620216,0.014040722210642453,0.015158242756242002,-0.024570710596118928,0.006472491909385036,-0.016166299659893024,0.005464479579896819,-0.02067183462532296,-0.005188062471480959,0.01455435289992213,0.015894658228598146,-0.014084507042253502
2023-01-11,-0.03236799831659409,-0.0012407231217379522,0.009890186243215027,-0.00614841420837875,0.011306712466008229,-0.003215434083601254,-0.01643185383369028,-0.0070817228365180895,0.0,-0.0035854175116486475,0.029005248384325943,0.02503350223216061,-0.0035714285714285587
2023-01-12,-0.010563353559512323,0.019875756971566405,-0.0002398271536669938,-0.015819716229680703,0.024908010189640617,0.00967741935483879,0.014319772130569453,0.022723517721709996,0.005277044854881341,0.016355904644796304,-0.011600716670858047,-0.0017444795026152482,0.0035842293906809264
2023-01-13,0.023131658708407388,0.001948817774909406,0.010155504697670459,0.019306766469962433,-0.014636840651753635,-0.009584664536741228,0.0023529052734374556,0.017353207271279647,0.013123359580052396,0.00643710218551341,0.0055595845587650405,-0.01135868221121139,-0.0071428571428571175
2023-01-16,0.0,0.0019450272711907246,-0.01041953668601936,-0.0007928998171325974,-0.004344170403587477,0.0,0.007042325410881345,-0.011955971958051759,0.007772020725388629,0.01343140614472449,-0.011057630447412481,-0.019443157005140543,-0.007194244604316502
2023-01-17,-0.02782606041949731,0.049017265301168234,-0.003509748852264627,-0.00026450966871205406,0.010274454609429995,-0.012903225806451646,0.013985977920283998,0.002742852289418396,-0.0025706940874036244,-0.010728941207258424,0.01035303835515089,0.020279353076182005,0.0
2023-01-18,0.03756705575667829,0.00439510839855517,-0.03118730148308646,-0.016579921188266455,0.02326553357481198,-0.0032679738562091387,0.006896534185300007,0.008688640304439277,-0.010309278350515427,-0.008612454688302407,0.03094574281828444,0.005300390568396596,-0.0036231884057971175
2023-01-19,0.02586206896551735,0.01888525532092933,-0.024402367770645306,0.0026006717780617805,-0.029680054458815497,0.006557377049180246,0.0022831573187274135,-0.02775566465653201,0.005208333333333259,-0.0054697579379425765,-0.007355097463944138,-0.005272444553015454,0.01090909090909098
2023-01-20,0.008403361344537785,0.007007264653258405,0.0002972962692753267,0.009123404429552728,0.0007015574575557348,-0.05863192182410426,0.013667390734995788,0.016242818789121483,0.005181347150259086,0.005823368038316401,-0.01882445936034627,-0.0132508500507168,-0.010791366906474864
2023-01-23,-0.010833326975504542,0.03456796519077976,0.03107617053955747,0.010547796885527427,0.006309590577677993,-0.00692041522491349,0.007865177111679333,-0.00048430459718318275,0.002164948453608151,0.0009649625763352709,0.007449727126329853,-0.023276654172423306,0.0
2023-01-24,-0.0036506577610359026,-0.000867907732996831,0.02054599412643121,-0.012981346629264645,-0.002368677720495982,0.0,0.0026012662838559297,0.0027459535464640084,0.0007200905256661283,0.02956298365950194,-0.01894247566430296,-0.0018331351392364414,0.014545454545454639
2023-01-25,-0.0036640338948105144,0.025624327910712674,-0.006455281608874541,-0.013596363599875594,0.004608938547486119,0.0,0.0025945172536012695,-0.0033827939215553826,0.0007195723684210176,-0.009051214333355428,0.01032524522457412,0.006427887292688617,0.0035842293906809264
2023-01-26,-0.003677508410274366,0.012915492199830902,0.006172355666233642,0.000630627881299306,-0.0004170721534825228,0.013937282229965264,0.002587803153670132,0.03248750932460598,0.016435541859270764,0.014488160140871065,-0.010424131024048267,-0.00410584636289435,-0.0035714285714285587
2023-01-27,0.04088582078344527,-0.0020902492082202073,0.003672627599453415,-0.01008375573655651,-0.010570236439499281,0.013745704467353903,0.013274302300743557,-0.007044470290126559,0.03840323395654366,0.0006209394080147757,-0.010533938175791846,-0.02519465135056087,0.010752688172043001
2023-01-30,-0.05564644510787853,0.007121893317128425,-0.007519381956772042,-0.001273300532371513,-0.010261456283384929,-0.01016949152542368,0.0021834561241091954,0.0074097322743134075,-0.027737226277372296,0.009928628587315691,-0.01617785241098746,0.0009397814741420873,0.02127659574468077
