,VWS.CO,4755.T,DHL.DE,004020.KS,LVS,018260.KS,A,016360.KS,4528.T,EBAY,DGE.L,AMGN,TECHM.BO
2023-01-02,,,,,,,,,,,,,
2023-01-03,-0.004709950236072458,0.0,0.007221172443276247,-0.0049261083743842304,0.0,-0.004149377593360981,0.0,0.024671052631578982,0.0,0.0,0.0,0.0,0.014413124148712209
2023-01-04,-0.04577834341920939,0.0,0.011443566041967168,0.01650165016501659,0.05189534692014042,0.0,0.010863802690953328,0.036918138041733606,0.0,0.02230127147520622,0.012733564013840848,0.01047208414244083,-0.0039061186899348455
2023-01-05,0.015869746208323043,0.06484641638225264,0.007497315256022485,0.02759740259740262,-0.00693776478292607,0.004166666666666652,0.002901051273938471,0.034055727554179516,-0.01809097174362506,0.00023203345318623114,-0.0016400164001639794,0.009342148213915547,-0.009068183040728983
2023-01-06,0.02800614993476991,0.0,0.000676436475254949,0.02211690363349139,0.0007762646317663879,0.029045643153526868,-0.02918941833929689,0.004491017964071808,0.011054570977364397,0.04663578207403796,-0.001642710472279263,0.03125244440256392,-0.024040352281786803
2023-01-09,0.013996515916240071,-0.006009615384615419,0.023391067852200687,0.018547140649149974,0.023463236215494954,0.02016129032258074,-0.0013543505838835568,0.010432190760059523,-0.006247830614370065,-0.035247176481372655,-0.0031537090360619358,-0.018459363606503354,0.029244780117524183
2023-01-10,-0.020458511365070597,-0.00201531640467556,-0.006341700904358927,0.012139605462822445,0.019325511204137502,-0.015810276679841917,0.05262083435682863,0.008849557522123908,-0.0020957038071952594,0.03607536025529012,-0.0009628610729023324,0.013919775779626331,-0.012507954377549813
2023-01-11,0.060392552512850806,-0.001615508885298822,-0.00132959015208578,-0.0029985007496251548,-0.010408876701395786,-0.004016064257028162,0.018939654205534895,-0.010233918128654929,0.016450822541127064,0.03371036710179376,0.010188627288999053,-0.0035417014875480657,0.0036901721256501485
2023-01-12,0.015187456073045391,0.01941747572815533,0.011316715047449355,-0.016541353383458635,0.004883514525476862,-0.020161290322580627,-0.010621437031230196,-0.002954209748892156,0.0037878787878788955,-0.003861838721705646,-0.007223660896824358,-0.007291745292117624,-0.0042728552663453545
2023-01-13,0.0018700755805864944,-0.012698412698412653,0.006582411875018179,0.05504587155963292,0.027476658330899628,0.024691358024691468,0.0027477325112628126,0.026666666666666616,-0.01663807890222979,-0.003661468501511611,0.010296540362438211,0.0029898033310478134,0.0010478397343045565
