,PLD,UPM.HE,9CI.SI,UU.L,PRY.MI,2882.TW,BIIB,LAND.L,ADSK,IHG.L,AZN.L,7550.T,M&M.NS
2023-01-02,,,,,,,,,,,,,
2023-01-03,0.0,-0.02039674555916593,0.0,0.0,-0.0014132062055138839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010729640907286342
2023-01-04,0.037891530309324795,-0.01796922542607693,0.005362009001025347,0.03331675783192445,-0.01839800430770322,0.0,-0.006675741083602027,0.024336935391478187,0.015176953335217735,0.012624172185430549,0.005895612970348463,0.0,-0.010485949847307108
2023-01-05,-0.035140224371780104,0.012779512715916042,0.02933330938694856,-0.009143407122232938,-0.023356440777485443,0.007509367492649632,0.002880243662821913,0.0,-0.03133645019823195,0.017576129164111887,0.009308739872435856,0.007704160246533087,0.013306968040722955
2023-01-06,0.033673044777481564,0.0012188269920416772,-0.04404146719952051,0.017969888295289005,0.021257786932651124,0.012422360248447228,0.028204292372313366,0.0033506126847901996,0.028121024392942173,0.024302068688491607,0.006148590947907762,-0.006116207951070374,0.009779267761344634
2023-01-09,-0.005057899353342443,0.003652029783648869,0.01084007014738475,-0.020038167938931317,0.012142184651418475,0.030674846625766916,-0.016222018905270863,0.013357601633311234,0.028206628080736262,0.011372549019607936,-0.0039042607367170135,-0.001153846153846172,0.03593165490919237
2023-01-10,-8.611500125976779e-05,-0.0071347030099310205,0.0,-0.0019474196689386325,-0.012567799137492619,-0.007142838977632016,0.024534035397591136,-0.0014979029906678765,0.004987745877225391,0.006979449398991866,0.005623721881390598,-0.0003850596842510656,0.0034723920425079324
2023-01-11,0.042223125959755636,-0.013222163620793426,-0.0026808746005900774,0.015121951219512209,0.012438539455357889,-0.007194226176781449,0.012683889123149328,0.012601297212288198,0.03360388898372668,0.00962649210627653,-0.014234875444839812,0.0030816640986133237,-0.0017492195493341578
2023-01-12,0.009673466952136556,0.008156095670335484,0.018817153181803103,0.0048053820278712855,0.0014285496303012568,0.00724635811602603,0.010700585222716885,0.024592556423611134,0.00015012273888603822,0.018688024408848314,-0.01598762248581742,-0.001536098310291889,0.005561518333006443
2023-01-13,-0.0018015166701206287,-0.03467208153069323,0.0,-0.008130081300813052,0.005135529503391689,0.002398044899077467,-0.00013877405306572665,0.011567380396770854,0.0031505781299805413,0.014975664545114231,0.018169112508735097,-0.007692307692307665,0.00625047340510676
2023-01-16,-0.002953260977800354,-0.015564216107111117,0.015831174536805603,-0.0077145612343297865,0.013340937462677394,-0.0011961540184961539,0.004035865887517032,0.007432836461545245,0.0004112889938174824,0.0003688675765400884,0.0017158544955386823,0.010852713178294504,-0.009449270487090988
2023-01-17,-0.0009873361873675712,-0.0009120942491205319,0.0,0.010204081632652962,0.022408941735682975,0.0059880239520957446,0.0013398810489535506,0.0011350564796033247,0.00013703996824188103,0.006637168141592875,-0.006509078451524486,-0.006134969325153339,0.003990574716803197
2023-01-18,0.010130154632535415,0.016433381177638484,0.005194692255715783,-0.013949013949013933,0.00849318830934287,0.001282052679376422,-0.021133309833143432,0.0036848592843765626,-0.013353227287155378,0.0219780219780219,-0.0018965517241379404,0.006172839506172867,0.0009842516956162228
2023-01-19,-0.01108846794481777,-0.007784494741086001,-0.0025838921405946236,0.015121951219512209,-0.014941674306942265,0.0012804111248629901,-0.011782538975932733,-0.016944365706240583,-0.00994849600140657,-0.0035842293906810374,-0.013646571083088643,0.0076687116564417845,-0.001966475466420481
2023-01-20,0.012614385091500147,0.002414056503563966,0.012953180726256619,0.015377222489187936,0.01985662586960313,0.001278773768703223,0.02013345244190723,0.003447232601013761,0.05024223765059643,0.014028776978417312,-0.019264448336252182,0.003044140030441511,-0.0036376405975566684
2023-01-23,0.026461488422695023,0.014449112721199642,0.013810797499470118,-0.004732607666824373,0.005137875312626106,0.003831421784435296,0.02155581026324871,-0.002576564351378652,0.02617775400400557,0.0014189428875488463,-0.014464285714285707,0.006069802731411222,0.010420194844552144
2023-01-24,0.0026176079309392364,0.008308568930502691,0.004540885910709003,0.006657156443176326,0.012644639328925233,0.001272266007116274,-0.00017123212490288697,0.003157308044736906,-0.02300156545402532,0.009564293304994642,-0.029715528175394135,-0.009049773755656076,-0.0034249892167926843
2023-01-25,-0.005617081296690585,-0.013537348165672869,0.00452035947406193,0.018422295701464364,-0.009564309675588412,0.0012706494030740867,0.0015759608311052276,0.0002861404964682457,-0.019037895728425958,-0.012280701754386003,0.00933706816059754,0.0,-0.009366284602608577
2023-01-26,0.018855876132967353,-0.003579920353401156,-0.012499881139536595,-0.005565862708719838,0.0010729859666613883,0.0012690369020917913,-0.0014366248731522147,0.0031464704928807485,0.029432131920331894,0.009236234458259274,-0.015356151711378385,0.0015220700152207556,0.00331679419438613
