,HPQ,TTE.PA,4911.T,5332.T,8001.T,CS.PA,SIE.DE,SPGI,5938.T,GFI.JO ,REGN,IBE.MC,2887.TW
2023-01-02,,,,,,,,,,,,,
2023-01-03,0.0,-0.017327572602389374,0.0,0.0,0.0,0.006607484728248458,0.00862729205052637,0.0,0.0,0.0,0.0,-0.003178914321935733,0.0
2023-01-04,0.01757006778895276,-0.023397780244589605,0.0,0.0,0.0,0.01444111894543787,0.03314492330052232,0.019243910347140236,0.0,0.030538889789741175,0.008355684172894673,0.012300616903435424,0.0066225396725450025
2023-01-05,-0.00036738534658686817,0.00590278058324345,0.020641125879593325,0.008879023307436285,-0.00795031055900619,-0.011092595164143071,-0.0032525313821453183,-0.016216874375346357,0.020854021847070525,0.010017832791356263,-0.0037577674922530946,-0.0049504368317789815,0.013157940363026421
2023-01-06,0.04226393107580617,0.012771862202386686,0.01654665236709052,0.005500550055005604,-0.006761833208114187,0.022434042074918503,0.009641078960727523,0.034991699105820784,0.005350194552529164,0.06091291478423422,0.018500627926062885,-0.013568572416444047,-0.0032467979134215286
2023-01-09,0.00987301739319002,-0.006134979694603193,0.006217030896759512,0.06482494529540483,0.010022692889561258,0.0021942356846837985,0.016159813119622113,0.00718721258716748,-0.012336719883889735,0.004894762604013669,-0.07686364010463786,-0.005960530213198867,0.019543974379983897
2023-01-10,0.0157123174765883,0.0015432125010088615,0.002059539412095024,0.02029283329052145,0.0033077451163952,0.0016420388675952857,-0.0014456914380256425,0.011560251050070747,-0.0041636051922605555,0.00097418412079886,0.027127543736974236,-0.004151298492666933,0.003194866236933658
2023-01-11,-0.008937787126780394,0.006505753622803256,-0.021225710014947663,0.009063444108761365,0.008957452102513086,-0.004371615151115615,0.014622877380816801,0.0272580285709072,0.015740285292670908,0.019708029197080368,0.015723571131607272,0.009263583211021054,-0.006369383146701768
2023-01-12,-0.00971212928846621,0.011226396277156603,-0.027183872938301823,0.0059880239520957446,0.0,0.01756310075288292,0.013555892172097739,0.010218380292375207,-0.002421307506053294,-0.01336196611787166,0.00652168474362691,0.006883873897562953,-0.0032051723708457214
2023-01-13,-0.022416791830160876,0.004709819608134103,-0.004081632653061273,0.0,-0.0012330456226880004,0.0,0.002674960505020252,-0.00377949308639125,-0.005339805825242738,0.04411124546553813,0.010579785718831003,-0.006381098158122156,0.00964630267820965
