,WMB,BATS.L,SGP.AX,NAB.AX,6301.T,006805.KS,GEN,GILD,RKT.L,OC,CI,EDP.LS,MDT
2023-01-02,,,,,,,,,,,,,
2023-01-03,0.0,0.0,0.0,0.0,0.0,0.003726708074534235,0.0,0.0,0.0,0.0,0.0,-0.0004236196160420924,0.0
2023-01-04,0.006220744595648142,0.0020942408376962707,0.008333391834189907,0.009517358460890302,0.0,0.025990099009900902,0.011563366803683417,0.0012882142070245184,-0.007922838442990021,0.03442282409275821,-0.034776728914056254,0.029237291859813608,0.034628149891374305
2023-01-05,-0.010200866520021945,-0.0040304523063143805,0.0,0.008080800166767821,-0.003547357218871894,0.012062726176115701,-0.035208067133785326,0.004093549404925012,0.012152777777777679,-0.009971981956845233,-0.01969057554600695,-0.018731907572504203,-0.011609267966342873
2023-01-06,0.01686448806394103,0.0022482014388489624,-0.005509702125222393,-0.0060120341337677186,0.008721965112139518,-0.0035756853396901045,0.018957327549697922,0.02597557829434116,0.005488850771869558,0.016296994471020287,-0.004964034825292618,0.002936844636517444,0.010371133871232896
2023-01-09,0.002149867686481066,-0.017646179153581576,0.008310307667627637,0.008064508376086632,0.00463208046585506,0.0071770334928229484,-0.0004651269247365475,-0.03383291660971477,0.004776526782668045,0.0032293237892839777,0.0011894273749579742,-0.002719098738899861,-0.04105861575270875
2023-01-10,-0.015016906602114966,-0.03988430506926477,0.00549450009618635,-0.0023333231608072547,0.0015369077416238497,0.0011876484560569,0.005118688297959029,0.02397180907291907,0.0020373514431240025,-0.004439936871394212,0.0024749207327481315,0.002726512395315517,0.01741034895771776
2023-01-11,0.009023052925780206,-0.007927699381639397,0.01639342660450316,0.004343440008055088,0.013504033672395721,-0.008303677342823224,0.018055526979666725,0.0005738243299064916,0.004405286343612369,0.01783920649535453,0.01790711441585091,0.01024885692731381,0.01812650926910031
2023-01-12,0.016342854588635047,0.01406424804219264,0.00537633891739131,0.024617424626257156,0.01661187056584179,0.005980861244019087,-0.0013642877197711512,-0.01685974514900379,-0.001686909581646412,0.0005476549661724839,0.0032014688070451935,0.019461669597454767,-0.005851608845728218
2023-01-13,-0.00455090155789184,-0.015287628053585522,0.005347588469388986,0.016233766635888935,0.008851063829787176,0.007134363852556502,0.018670390339435183,0.006416185423833598,0.015207840486650914,0.003174960884107625,0.012861808454240675,-0.01909014353147709,0.009267349754669807
2023-01-16,-0.0006858258016997354,0.004801536491677361,0.018617003569240342,0.01118212108629435,-0.014341150666441704,0.0,0.007375926635035501,-0.0074764664520201585,-0.0026631158455392434,-0.00924913200334998,0.0018857019980413892,-0.005383027598110934,-0.0022335079539210767
2023-01-17,-0.00022876549384476252,-0.002867155144950617,0.010443854477762304,0.0006319260033089691,0.013865114686751223,-0.00708382526564344,0.002440640228411173,-0.002510928355620945,-0.0016688918558077637,-0.0031118256876734307,0.0006273842729034307,-0.0033305150575926312,-0.0007461692262087372
2023-01-18,-0.03355700168042197,-0.019009584664536727,-0.002583976940302213,0.0,0.016039169339861603,0.0023781212841855748,-0.011509527539868336,-0.019552812630082017,-0.024740889334670668,0.005082862811852662,-0.02107941158234128,-0.007101069158914286,-0.020161731772891822
2023-01-19,0.007891414065395619,0.012212994626282336,0.005181404116229027,0.001262993624324249,-0.01462279827185109,0.0,-0.01746526605378096,-0.0014329486535539226,0.001028453890983938,-0.04694367508844133,0.0074588741075616305,-0.004206979415259604,0.010034208719022386
2023-01-20,-0.01471973743222732,0.004343629343629418,0.0025773170536871337,-0.003468896442093916,0.004215851602023646,0.0011862396204034287,0.022333626216532343,-0.007294912584495217,-0.006506849315068508,0.019840825611530777,-0.007403651205285189,0.002323548603040404,0.01747996828121301
2023-01-23,0.006993045998266112,0.0003203588018581005,0.0,-0.002848106060171496,0.013937867338371213,0.0028436018957345155,0.016941558430514814,0.002650297735712348,-0.004481213374698423,0.015043480902265483,-0.0006160719057355379,0.00442569208719612,0.01804472893821396
2023-01-24,-0.0075757502779744135,-0.00928742994395515,0.007712074699419258,-0.005395115044719345,0.022524014574362372,0.000945179584120881,-0.006576046560379689,0.009491688745282278,-0.013850415512465353,-0.00033428549154213005,0.002660793623364466,0.005665217879373241,-0.019060333161022847
2023-01-25,-0.0012722937292577452,-0.010182641021496686,-0.007653053777012309,0.004467115155290635,0.012309685779073432,0.0009442870632672129,-0.0026478140488264135,0.0005951327511977134,-0.005617977528089901,0.02396613028447847,0.014887233402047784,-0.001043211810996203,0.0049504193239715555
2023-01-26,0.0009554358920373929,-0.0104506858262573,0.006426728916182789,0.004923783001888005,0.0009600000000000719,0.0,0.004867199165762948,-0.005352646007799278,-0.0024717514124293904,-0.0018506223363357055,-0.001243611516354548,-0.007101069158914286,0.007881766178592153
2023-01-27,0.0025453363960954434,0.002145214521452221,0.006385689818774853,0.004899658148382002,0.01534526854219953,0.007075471698113178,0.005724397769972578,0.0013154820227037067,-0.011681415929203576,0.00458063210559656,-0.015645032640750678,-0.017038351888757575,0.009042100760963123
2023-01-30,-0.015233244644548338,0.010044459081179014,0.005076137217272736,0.001258226078224789,-0.012909319899244376,0.0,-0.006567408823474841,-0.004538455363396698,0.02542979942693413,-0.005645470296549937,0.006681795783842537,-0.016049606576169273,0.0
2023-01-31,0.038994552531287585,0.009455493968046902,-0.0075757502779744135,-0.0012566449347968245,0.006379585326953707,-0.0023419203747072626,0.014103115350037276,0.007078632010633301,0.007684247293049173,0.05524626477023853,0.020331319673907444,-0.008699426146501432,0.01344151835480023
2023-02-01,-0.011786633012771941,0.006782945736434121,0.027989794714326832,-0.0018874291149110212,-0.008557844690966765,0.01760563380281699,0.015210794349771684,0.0007147671771350339,-0.013171577123050282,0.025452654378013362,-0.010705196275905382,-0.0024133734512600258,0.024853556470098237
2023-02-02,0.010985513729317997,-0.0004812319538017862,0.007425794577133882,-0.007248646251323487,-0.020460358056266004,0.028835063437139485,0.0089896866004191,-0.03107143583751859,-0.011942395504039305,0.038946630880641875,-0.03750638421151742,0.02837039561649579,0.02110301106248902
2023-02-03,-0.004035928503973052,0.003209757663296342,0.029484000122314002,0.01269840058826266,0.0013054830287206887,-0.008968609865470878,-0.09630888787249947,0.0382110902282069,0.031994312122289426,-0.01913179758520811,-0.02964879938181486,-0.005774155202333042,-0.005480741572254533
