,8031.T,AOT-R.BK,GIS,012330.KS,BNP.PA,CCEP.L,051900.KS,ASRNL.AS,9983.T,4188.T,HST,FME.F,WHR
2023-01-02,,,,,,,,,,,,,
2023-01-03,0.0,0.0,0.0,-0.0024691358024691024,0.01966135099867561,0.0,-0.01666666666666672,0.007174881295341384,0.0,0.0,0.0,-0.0049439557605762685,0.0
2023-01-04,0.0,-0.00948461570626069,0.008050927170361932,0.004950495049504955,0.041064151413723105,0.007736899521834539,-0.007062146892655385,-0.034728353120731636,0.0,0.0,0.015065898714401671,0.047366686978444594,0.031308704750331984
2023-01-05,-0.0029380341880341776,-0.008413020383506553,0.006198644370536188,0.019704433497536922,0.00514490190353456,0.019193858527591257,0.038406827880512084,-0.02629149846866652,0.0015088645794039124,0.013124515724039831,-0.023500316181075176,0.01075263239137536,0.010321789269353898
2023-01-06,-0.005625502276988992,0.005785553023609946,0.018362698200652394,0.033816425120772875,0.008530967322864846,0.0,-0.005479452054794498,0.007816153643207535,-0.0015065913370998496,0.0004416131287494629,0.02406587177700814,0.014080124400193794,0.011618626849539737
2023-01-09,0.006061422413793149,0.0,-0.014890632770237944,0.011682242990654235,-0.0015225875766973207,-0.0075329137980404415,0.05509641873278226,-0.00235014044451487,0.007355714824594406,0.008166595806248678,0.0018553300249819493,-0.012341916931877028,0.00554453028310653
2023-01-10,0.0020083009773730343,0.0047556423586823104,-0.007439740802403616,0.004618937644341736,-0.011352117560928465,-0.01518025095785458,-0.030026109660574396,0.016725537613947683,0.00243400112338521,0.002700147588113655,0.015432098038657083,0.0356139726373812,0.015491667763448458
2023-01-11,0.01763762693746651,-0.0024897583295915293,-0.0011898405697147174,0.0,0.0042844902577139354,-0.0019268263175000744,0.03364737550471064,-0.009267875979913631,0.01419499439671279,-0.00029113858374274493,0.049240086831317864,-0.012066410481659906,-0.0028442304465814416
2023-01-12,0.005252100840336116,-0.00901315578418782,-0.01691480905974052,-0.01839080459770115,0.018430065856258393,0.0019305461446186278,-0.04166666666666663,-0.001637036893637478,-0.019766704074585584,-0.0010192373609101413,0.008111204391189508,0.0024428040016697405,-0.0007778758035815736
2023-01-13,-0.0036572622779519337,-0.0035254878201945727,-0.00024229544846932072,0.014051522248243575,0.003016090888997125,0.0,0.010869565217391353,-0.017568517782307058,-0.07953411511660735,-0.0024777018399151363,-0.02241375851716132,-0.00395982518624971,0.0009731017067491354
2023-01-16,-0.009701101206082807,0.0,-0.0059083884594292035,-0.006928406466512715,-0.005011681156058434,0.0038535056331829853,0.014784946236559238,-0.000953674347633382,-0.019594503174180322,-0.016949205446076587,0.01763666724638413,0.030581039041850833,0.002965198507172362
2023-01-17,0.012973259200423692,-0.013679656118511296,-0.0019811683319181927,0.0023255813953488857,-0.0011752802755241598,0.019193858527591257,0.0026490066225166586,-0.0033413651371643205,0.027758556009242596,0.027199744537748094,0.005777002019822675,0.005044455937587511,0.0009854773663751093
2023-01-18,0.020386826973340266,0.0013185311791974463,-0.042145088230135186,-0.030162412993039456,0.0025213936283334792,-0.015065899435956265,0.0,-0.0019156613882373996,0.027413882421772673,0.013167467721842074,-0.015508354975879324,-0.005904953328804918,-0.029309189574060146
2023-01-19,-0.01741803278688525,0.014072113936801633,-0.012243421362459372,-0.004784688995215336,-0.012407744321640157,-0.00573612316322869,0.011889035667107084,0.011036446283699597,-0.017613013234424324,-0.005284221854508164,-0.0035005523966715746,-0.012473958769997462,-0.0323889006213014
2023-01-20,0.0015641293013555213,0.00553067719718392,0.0001291431455723302,0.007211538461538547,0.012733446189648667,-0.011538432194636461,-0.015665796344647487,0.017085933344365145,0.009365748935744156,0.01249104408762558,0.03103048530520769,0.01203012107906476,0.03663483146479862
2023-01-23,0.0039042165538782925,0.0,-0.0007745618293685252,0.008591885441527447,0.009220439614271214,-0.003891065311325992,-0.018302387267904563,0.0009332924628489003,0.026643691039746287,0.0048212752695020455,0.019874983645108868,0.005051951299751778,0.008619465122914116
2023-01-24,0.019445164635727208,0.002265274113480542,-0.005038751704908417,0.002839564600094713,0.00913619983538494,-0.005859360011527537,-0.006214536611726551,-0.0013986333602999945,-0.001807592645648226,0.012277748386651188,0.009465483572374866,-0.009757481352311359,0.004009996252508641
2023-01-25,-0.005595116988809767,0.005114120983337189,0.011167388475463502,0.002831524303916977,0.003950644913033763,-0.001964681450304373,-0.006253398586188119,0.0016339797986670845,0.0016815671080714356,0.01979647629818415,0.0066189103578713215,-0.026575191392658293,-0.004583231636377083
2023-01-26,-0.0002557544757033625,-0.0027460133253290886,-0.013740845731139872,0.03294117647058825,0.012133101219946374,0.00787404590327423,-0.004103967168262668,0.006292250261565879,-0.00142050495190571,0.004374589483296276,0.004931515210295334,0.015030727036867031,-0.012892136228478512
2023-01-27,0.0020465592223075646,-0.0007350859554684508,0.014192660085651898,-0.02277904328018221,0.00485986132002636,-0.007812529685906622,0.03846153846153855,0.003936965441033724,0.015388645238664678,0.010616561403800295,0.015812377631730268,0.0483529303941681,0.026854125292272935
2023-01-30,-0.013020168496298168,0.0,0.004108354054843444,-0.037296037296037254,0.0012897280772055097,0.003937022951637115,-0.014550264550264536,0.0032296011366479416,0.0026744777735152603,-0.02154882154882154,-0.005367604864507047,0.0031709603547480647,-0.0036340869253868036
