,ITX.MC,FMG.XA,0017.HK,RICOY,TT,2330.TW,SMWH.L,GSK.L,2890.TW,1911.T,VTR,VCX.AX,035720.KS
2023-01-02,,,,,,,,,,,,,
2023-01-03,-0.008593797555658256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011385199240986799
2023-01-04,0.03033886852738643,0.02453385773256289,0.019780253316019847,-0.006596268390627991,0.016207070477939123,-0.007726269315673329,0.024736147757255855,-0.0022053419516712136,0.006024118607919737,0.0,0.03658805127820974,0.005025120811725348,0.045028142589118136
2023-01-05,0.006500959035329323,0.006226105045038066,0.0,-0.03851267338776965,-0.013539100702231743,0.020022246941045596,0.013196009011908538,-0.011189441011070667,0.008982038807755277,-0.0056570931244560585,-0.005741026254981185,-0.002499997615813987,0.03590664272890476
2023-01-06,0.018617012796338317,0.04236075106867343,-0.008620722256998503,0.009668532303084065,0.03809248716491331,0.0,0.002858958068614914,0.00041909443711185546,0.005934680268757875,0.014879649890590763,0.02266897800128609,-0.00751878980402676,-0.008665511265164683
2023-01-09,0.0033569621178928255,0.0022831573187274135,0.004347842672596913,0.019151828670516124,-0.002352930918461116,0.04907306434023995,-0.007602153943617407,-0.007540795367976139,0.020648895922220634,-0.0032341526520052177,-0.000209082425700724,0.015151500555948827,0.06818181818181812
2023-01-10,-0.005947949802270425,-0.010478425584991347,-0.023809572957859237,-0.024161051402278866,0.004773084209269918,0.01039501039501034,0.007979572294924964,-0.005206151883325738,0.005780426649985904,-0.0010815487778498278,-0.0004183320892947595,-0.014925358971198954,-0.006546644844517169
2023-01-11,0.01982051949072794,0.024861921390362696,-0.0022172611420037125,0.0,0.008494966381713098,-0.0030864197530864335,-0.0028499050031665085,-0.002970262497789977,-0.0028736026755059596,0.014724989172802072,0.026993113429889304,0.025252500926581378,0.01976935749588149
2023-01-12,0.009534294995136916,0.027403441333306855,-0.0022221883138020537,0.020632750448551507,-0.0004433462588400161,0.0041279669762641635,-0.0028580501746586773,0.015037558829351205,-0.005763652410806452,0.0017072129748185727,0.013854858702312844,0.004926103745908517,-0.00646203554119551
2023-01-13,-0.001452993626213317,0.0008744446734227918,-0.006681582217428206,-0.0053908303829838244,0.016299842107863283,0.027749229188078095,0.02070063694267521,0.002515706209599955,0.002898474143022023,0.003408606731998276,-0.015474209586803678,0.004901956201103452,0.008130081300812941
2023-01-16,-0.00036377697217526705,-0.02664913583522388,0.029148051485071935,0.012195110131936637,-0.014606372182272231,0.010000000000000009,0.015600624024961096,0.001115276462544168,0.005780426649985904,-0.01698513800424628,0.001530901265998308,0.004878044241882984,0.040322580645161255
2023-01-17,-0.0021833867154970044,-0.013016198679974389,0.0,0.004016060411629274,-0.004940960231503255,-0.003960396039603964,-0.006451612903225823,0.0011141190019845482,0.020114987954154007,0.00647948164146861,0.000509520396579255,0.0,-0.041860465116279055
